Resource,type,scan_errors,license_expression,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance
/folies/AdobeAFM.text,,,apafml,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AdobeAFM.text,,,,apafml,94.19,Adobe Postscript AFM License,Adobe Postscript AFM License,Permissive,False,Adobe Systems,https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM,,https://enterprise.dejacode.com/urn/urn:dje:license:apafml,APAFML,https://spdx.org/licenses/APAFML,3,10,apafml.LICENSE,apafml,[u'apafml'],True,False,False,False,3-seq,86,81,94.19,100.00
/folies/AdobeAFM.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.shortname,,,afl-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.shortname,,,,afl-1.1,50.00,Academic Free License 1.1,AFL 1.1,Permissive,False,Lawrence Rosen,https://spdx.org/licenses/AFL-1.1,http://open2.mirrors-r-us.net/licenses/afl-1.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-1.1,AFL-1.1,https://spdx.org/licenses/AFL-1.1,1,1,spdx_license_id_afl-1.1_for_afl-1.1.RULE,afl-1.1,[u'afl-1.1'],False,False,True,False,1-hash,3,3,100.00,50.00
/folies/AFL-1.1.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.text,,,afl-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.text,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.text,,,,afl-1.1,100.00,Academic Free License 1.1,AFL 1.1,Permissive,False,Lawrence Rosen,https://spdx.org/licenses/AFL-1.1,http://open2.mirrors-r-us.net/licenses/afl-1.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-1.1,AFL-1.1,https://spdx.org/licenses/AFL-1.1,1,85,afl-1.1.LICENSE,afl-1.1,[u'afl-1.1'],True,False,False,False,2-aho,736,736,100.00,100.00
/folies/AFL-1.1.text,,,,unknown,11.00,Unknown license detected but not recognized,unknown,Unstated License,False,Unspecified,,,https://enterprise.dejacode.com/urn/urn:dje:license:unknown,,,107,107,unknown_9.RULE,unknown,[u'unknown'],False,False,True,False,2-aho,2,2,100.00,11.00
/folies/AFL-1.1.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.url,,,afl-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.1.url,,,,afl-1.1,50.00,Academic Free License 1.1,AFL 1.1,Permissive,False,Lawrence Rosen,https://spdx.org/licenses/AFL-1.1,http://open2.mirrors-r-us.net/licenses/afl-1.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-1.1,AFL-1.1,https://spdx.org/licenses/AFL-1.1,1,1,spdx_license_id_afl-1.1_for_afl-1.1.RULE,afl-1.1,[u'afl-1.1'],False,False,True,False,2-aho,3,3,100.00,50.00
/folies/AFL-1.2.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.2.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.2.shortname,,,afl-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.2.shortname,,,,afl-1.2,50.00,Academic Free License 1.2,AFL 1.2,Permissive,False,Lawrence Rosen,https://spdx.org/licenses/AFL-1.2.html,http://opensource-definition.org/licenses/afl-1.2.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-1.2,AFL-1.2,https://spdx.org/licenses/AFL-1.2,1,1,spdx_license_id_afl-1.2_for_afl-1.2.RULE,afl-1.2,[u'afl-1.2'],False,False,True,False,1-hash,3,3,100.00,50.00
/folies/AFL-1.2.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.2.text,,,afl-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.2.text,,,,afl-1.2,73.57,Academic Free License 1.2,AFL 1.2,Permissive,False,Lawrence Rosen,https://spdx.org/licenses/AFL-1.2.html,http://opensource-definition.org/licenses/afl-1.2.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-1.2,AFL-1.2,https://spdx.org/licenses/AFL-1.2,1,22,afl-1.2.SPDX.RULE,afl-1.2,[u'afl-1.2'],False,True,False,False,3-seq,1063,782,73.57,100.00
/folies/AFL-1.2.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.2.url,,,afl-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-1.2.url,,,,afl-1.2,50.00,Academic Free License 1.2,AFL 1.2,Permissive,False,Lawrence Rosen,https://spdx.org/licenses/AFL-1.2.html,http://opensource-definition.org/licenses/afl-1.2.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-1.2,AFL-1.2,https://spdx.org/licenses/AFL-1.2,1,1,spdx_license_id_afl-1.2_for_afl-1.2.RULE,afl-1.2,[u'afl-1.2'],False,False,True,False,2-aho,3,3,100.00,50.00
/folies/AFL-2.0.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.0.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.0.shortname,,,afl-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.0.shortname,,,,afl-2.0,50.00,Academic Free License 2.0,AFL 2.0,Permissive,False,Lawrence Rosen,http://opensource.linux-mirror.org/licenses/afl-2.0.txt,http://flashlinux.org.uk/licenses/licenses/AFL-2.0.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-2.0,AFL-2.0,https://spdx.org/licenses/AFL-2.0,1,1,spdx_license_id_afl-2.0_for_afl-2.0.RULE,afl-2.0,[u'afl-2.0'],False,False,True,False,1-hash,3,3,100.00,50.00
/folies/AFL-2.0.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.0.text,,,afl-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.0.text,,,,afl-2.0,99.93,Academic Free License 2.0,AFL 2.0,Permissive,False,Lawrence Rosen,http://opensource.linux-mirror.org/licenses/afl-2.0.txt,http://flashlinux.org.uk/licenses/licenses/AFL-2.0.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-2.0,AFL-2.0,https://spdx.org/licenses/AFL-2.0,1,46,afl-2.0.SPDX.RULE,afl-2.0,[u'afl-2.0'],True,False,False,False,3-seq,1430,1429,99.93,100.00
/folies/AFL-2.0.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.0.url,,,afl-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.0.url,,,,afl-2.0,50.00,Academic Free License 2.0,AFL 2.0,Permissive,False,Lawrence Rosen,http://opensource.linux-mirror.org/licenses/afl-2.0.txt,http://flashlinux.org.uk/licenses/licenses/AFL-2.0.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-2.0,AFL-2.0,https://spdx.org/licenses/AFL-2.0,1,1,spdx_license_id_afl-2.0_for_afl-2.0.RULE,afl-2.0,[u'afl-2.0'],False,False,True,False,2-aho,3,3,100.00,50.00
/folies/AFL-2.1.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.1.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.1.shortname,,,afl-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.1.shortname,,,,afl-2.1,50.00,Academic Free License 2.1,AFL 2.1,Permissive,False,Lawrence Rosen,http://www.rosenlaw.com/afl21.htm,http://opensource.linux-mirror.org/licenses/afl-2.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-2.1,AFL-2.1,https://spdx.org/licenses/AFL-2.1,1,1,spdx_license_id_afl-2.1_for_afl-2.1.RULE,afl-2.1,[u'afl-2.1'],False,False,True,False,1-hash,3,3,100.00,50.00
/folies/AFL-2.1.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.1.text,,,afl-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.1.text,,,,afl-2.1,99.58,Academic Free License 2.1,AFL 2.1,Permissive,False,Lawrence Rosen,http://www.rosenlaw.com/afl21.htm,http://opensource.linux-mirror.org/licenses/afl-2.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-2.1,AFL-2.1,https://spdx.org/licenses/AFL-2.1,1,43,afl-2.1.LICENSE,afl-2.1,[u'afl-2.1'],True,False,False,False,3-seq,1426,1420,99.58,100.00
/folies/AFL-2.1.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.1.url,,,afl-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-2.1.url,,,,afl-2.1,50.00,Academic Free License 2.1,AFL 2.1,Permissive,False,Lawrence Rosen,http://www.rosenlaw.com/afl21.htm,http://opensource.linux-mirror.org/licenses/afl-2.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:afl-2.1,AFL-2.1,https://spdx.org/licenses/AFL-2.1,1,1,spdx_license_id_afl-2.1_for_afl-2.1.RULE,afl-2.1,[u'afl-2.1'],False,False,True,False,2-aho,3,3,100.00,50.00
/folies/AFL-3.0.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-3.0.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-3.0.shortname,,,afl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-3.0.shortname,,,,afl-3.0,50.00,Academic Free License 3.0,AFL 3.0,Permissive,False,Lawrence Rosen,http://opensource.org/licenses/afl-3.0.php,http://www.opensource.org/licenses/afl-3.0.php,https://enterprise.dejacode.com/urn/urn:dje:license:afl-3.0,AFL-3.0,https://spdx.org/licenses/AFL-3.0,1,1,spdx_license_id_afl-3.0_for_afl-3.0.RULE,afl-3.0,[u'afl-3.0'],False,False,True,False,1-hash,3,3,100.00,50.00
/folies/AFL-3.0.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-3.0.text,,,afl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-3.0.text,,,,afl-3.0,100.00,Academic Free License 3.0,AFL 3.0,Permissive,False,Lawrence Rosen,http://opensource.org/licenses/afl-3.0.php,http://www.opensource.org/licenses/afl-3.0.php,https://enterprise.dejacode.com/urn/urn:dje:license:afl-3.0,AFL-3.0,https://spdx.org/licenses/AFL-3.0,1,46,afl-3.0_6.RULE,afl-3.0,[u'afl-3.0'],True,False,False,False,1-hash,1653,1653,100.00,100.00
/folies/AFL-3.0.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-3.0.url,,,afl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AFL-3.0.url,,,,afl-3.0,50.00,Academic Free License 3.0,AFL 3.0,Permissive,False,Lawrence Rosen,http://opensource.org/licenses/afl-3.0.php,http://www.opensource.org/licenses/afl-3.0.php,https://enterprise.dejacode.com/urn/urn:dje:license:afl-3.0,AFL-3.0,https://spdx.org/licenses/AFL-3.0,1,1,spdx_license_id_afl-3.0_for_afl-3.0.RULE,afl-3.0,[u'afl-3.0'],False,False,True,False,2-aho,3,3,100.00,50.00
/folies/Against-DRM.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Against-DRM.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Against-DRM.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Against-DRM.text,,,kalle-kaukonen,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Against-DRM.text,,,,kalle-kaukonen,25.88,Kalle Kaukonen License,Kalle Kaukonen License,Permissive,False,Kalle Kaukonen,,,https://enterprise.dejacode.com/urn/urn:dje:license:kalle-kaukonen,,,133,133,kalle-kaukonen_1.RULE,kalle-kaukonen,[u'kalle-kaukonen'],False,True,False,False,3-seq,68,22,32.35,80.00
/folies/Against-DRM.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Agere.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Agere.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Agere.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Agere.text,,,agere-sla,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Agere.text,,,,agere-sla,100.00,Agere Systems WinModem EULA,Agere WindModem EULA,Proprietary Free,False,LSI Corporation,http://fedoraproject.org/wiki/Licensing/Agere_LT_Modem_Driver_License,http://fedoraproject.org/wiki/Licensing/Agere_LT_Modem_Driver_License,https://enterprise.dejacode.com/urn/urn:dje:license:agere-sla,,,5,221,agere-sla.LICENSE,agere-sla,[u'agere-sla'],True,False,False,False,2-aho,905,905,100.00,100.00
/folies/Agere.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.fullname,,,agpl-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.fullname,,,,agpl-1.0,33.00,Affero General Public License 1.0,AGPL 1.0,Copyleft,False,Affero,http://www.affero.org/oagpl.html,http://www.affero.org/oagpl.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-1.0,AGPL-1.0-only,https://spdx.org/licenses/AGPL-1.0-only,1,1,agpl-1.0_4.RULE,agpl-1.0,[u'agpl-1.0'],False,False,True,False,1-hash,6,6,100.00,33.00
/folies/AGPL-1.0.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.shortname,,,agpl-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.shortname,,,,agpl-1.0,16.00,Affero General Public License 1.0,AGPL 1.0,Copyleft,False,Affero,http://www.affero.org/oagpl.html,http://www.affero.org/oagpl.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-1.0,AGPL-1.0-only,https://spdx.org/licenses/AGPL-1.0-only,1,1,agpl-1.0_1.RULE,agpl-1.0,[u'agpl-1.0'],False,False,True,False,1-hash,3,3,100.00,16.00
/folies/AGPL-1.0.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.text,,,agpl-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.text,,,,agpl-1.0,100.00,Affero General Public License 1.0,AGPL 1.0,Copyleft,False,Affero,http://www.affero.org/oagpl.html,http://www.affero.org/oagpl.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-1.0,AGPL-1.0-only,https://spdx.org/licenses/AGPL-1.0-only,1,95,agpl-1.0.LICENSE,agpl-1.0,[u'agpl-1.0'],True,False,False,False,1-hash,2674,2674,100.00,100.00
/folies/AGPL-1.0.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.url,,,agpl-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-1.0.url,,,,agpl-1.0,33.00,Affero General Public License 1.0,AGPL 1.0,Copyleft,False,Affero,http://www.affero.org/oagpl.html,http://www.affero.org/oagpl.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-1.0,AGPL-1.0-only,https://spdx.org/licenses/AGPL-1.0-only,1,1,agpl-1.0.RULE,agpl-1.0,[u'agpl-1.0'],False,False,True,False,1-hash,6,6,100.00,33.00
/folies/AGPL-3.0.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.fullname,,,agpl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.fullname,,,,agpl-3.0,33.00,GNU Affero General Public License 3.0,AGPL 3.0,Copyleft,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/agpl-3.0.html,http://www.fsf.org/licensing/licenses/agpl-3.0.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-3.0,AGPL-3.0-only,https://spdx.org/licenses/AGPL-3.0-only,1,1,agpl-3.0_11.RULE,agpl-3.0,[u'agpl-3.0'],False,False,True,False,2-aho,6,6,100.00,33.00
/folies/AGPL-3.0.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.shortname,,,agpl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.shortname,,,,agpl-3.0,16.00,GNU Affero General Public License 3.0,AGPL 3.0,Copyleft,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/agpl-3.0.html,http://www.fsf.org/licensing/licenses/agpl-3.0.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-3.0,AGPL-3.0-only,https://spdx.org/licenses/AGPL-3.0-only,1,1,agpl-3.0_5.RULE,agpl-3.0,[u'agpl-3.0'],False,False,True,False,1-hash,3,3,100.00,16.00
/folies/AGPL-3.0.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.text,,,agpl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.text,,,,agpl-3.0,100.00,GNU Affero General Public License 3.0,AGPL 3.0,Copyleft,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/agpl-3.0.html,http://www.fsf.org/licensing/licenses/agpl-3.0.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-3.0,AGPL-3.0-only,https://spdx.org/licenses/AGPL-3.0-only,1,661,agpl-3.0.SPDX.RULE,agpl-3.0,[u'agpl-3.0'],True,False,False,False,1-hash,5580,5580,100.00,100.00
/folies/AGPL-3.0.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.url,,,agpl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.url,,,agpl-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/AGPL-3.0.url,,,,agpl-3.0,33.00,GNU Affero General Public License 3.0,AGPL 3.0,Copyleft,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/agpl-3.0.html,http://www.fsf.org/licensing/licenses/agpl-3.0.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-3.0,AGPL-3.0-only,https://spdx.org/licenses/AGPL-3.0-only,1,1,agpl-3.0_16.RULE,agpl-3.0,[u'agpl-3.0'],False,False,True,False,2-aho,6,6,100.00,33.00
